"WEB BROWSERS  –  ENGINES","","","","",
"www.rankings.hu/hu/ranking/web-browsers-engines.html","","","","",
"A ranking of web browsers engines that are used by persons connecting from Hungary with Hungarian web sites. The ranking is based on the number of page views concerning sites included in the gemiusTraffic study.","","","","",
"","","","","",
"","Gecko","WebKit/KHTML","MSIE","Opera",
"01.01.2007","24.15","0.23","73.59","2.00",
"08.01.2007","23.52","0.23","74.33","1.89",
"15.01.2007","23.50","0.22","74.39","1.86",
"22.01.2007","23.54","0.21","74.40","1.83",
"29.01.2007","23.69","0.21","74.27","1.80",
"05.02.2007","23.74","0.20","74.24","1.78",
"12.02.2007","23.79","0.20","74.20","1.77",
"19.02.2007","24.67","0.22","73.22","1.85",
"26.02.2007","24.83","0.22","73.03","1.88",
"05.03.2007","24.94","0.22","72.94","1.87",
"12.03.2007","26.77","0.22","70.96","2.02",
"19.03.2007","25.57","0.23","72.29","1.88",
"26.03.2007","25.96","0.23","71.87","1.90",
"02.04.2007","26.66","0.24","71.11","1.96",
"09.04.2007","27.50","0.24","70.21","2.01",
"16.04.2007","26.51","0.23","71.28","1.95",
"23.04.2007","26.98","0.24","70.78","1.96",
"30.04.2007","28.61","0.24","69.06","2.06",
"07.05.2007","27.77","0.24","69.98","1.98",
"14.05.2007","27.95","0.24","69.81","1.96",
"21.05.2007","28.27","0.23","69.47","1.99",
"28.05.2007","28.99","0.24","68.68","2.06",
"04.06.2007","28.43","0.24","69.30","1.99",
"11.06.2007","28.80","0.25","68.93","1.99",
"18.06.2007","29.23","0.23","68.53","1.98",
"25.06.2007","29.22","0.25","68.52","1.99",
"02.07.2007","30.19","0.27","67.42","2.08",
"09.07.2007","30.71","0.28","66.86","2.12",
"16.07.2007","30.92","0.28","66.60","2.18",
"23.07.2007","31.09","0.28","66.45","2.15",
"30.07.2007","31.48","0.30","66.00","2.18",
"06.08.2007","31.43","0.34","65.96","2.24",
"13.08.2007","31.63","0.34","65.73","2.26",
"20.08.2007","32.08","0.32","65.34","2.22",
"27.08.2007","31.93","0.30","65.85","1.90",
"03.09.2007","30.81","0.30","67.08","1.78",
"10.09.2007","30.83","0.29","67.12","1.74",
"17.09.2007","30.91","0.29","67.05","1.72",
"24.09.2007","31.09","0.29","66.85","1.75",
"01.10.2007","31.42","0.30","66.46","1.79",
"08.10.2007","31.51","0.30","66.40","1.77",
"15.10.2007","31.65","0.30","66.23","1.81",
"22.10.2007","32.19","0.30","65.66","1.84",
"29.10.2007","33.00","0.28","64.81","1.88",
"05.11.2007","32.37","0.30","65.45","1.86",
"12.11.2007","32.50","0.28","65.32","1.86",
"19.11.2007","32.83","0.27","65.02","1.85",
"26.11.2007","33.47","0.26","64.39","1.85",
